,#,Name,Market Cap,Price,Volume (24h),Circulating Supply,Change (24h),Price Graph (7d),Unnamed: 8
10,11,MIOTA IOTA,"$980,627,878",$0.352803,"$29,392,064","2,779,530,283 MIOTA *",16.33%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XMR Monero,"$900,829,942",$54.07,"$22,058,377","16,661,012 XMR",10.99%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,DASH Dash,"$779,334,328",$91.50,"$188,067,386","8,517,122 DASH",18.08%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,XEM NEM,"$661,980,234",$0.073553,"$12,965,427","8,999,999,999 XEM *",1.80%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,ETC Ethereum Classic,"$503,680,017",$4.71,"$192,940,584","106,921,293 ETC",2.05%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,NEO NEO,"$467,241,324",$7.19,"$174,402,815","65,000,000 NEO *",1.53%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,WAVES Waves,"$382,514,396",$3.83,"$102,856,030","100,000,000 WAVES *",-9.06%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,ZEC Zcash,"$351,515,856",$63.95,"$118,599,687","5,496,769 ZEC",6.22%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,DOGE Dogecoin,"$319,925,328",$0.002723,"$24,273,717","117,487,344,712 DOGE",1.62%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,XTZ Tezos,"$293,149,994",$0.482560,"$2,400,934","607,489,041 XTZ *",3.71%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,BTG Bitcoin Gold,"$283,301,337",$16.29,"$11,865,665","17,394,699 BTG",22.26%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,VET VeChain,"$252,980,313",$0.004562,"$9,729,856","55,454,734,800 VET *",5.21%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,QTUM Qtum,"$210,662,503",$2.36,"$326,180,722","89,123,116 QTUM *",3.79%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,ONT Ontology,"$195,699,676",$0.672240,"$37,117,265","291,115,881 ONT *",3.92%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart  View Markets View Historical Data
24,25,LSK Lisk,"$176,647,013",$1.56,"$6,454,349","113,180,206 LSK *",3.11%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,DCR Decred,"$169,754,206",$18.83,"$1,254,225","9,016,024 DCR",3.07%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,BCD Bitcoin Diamond,"$167,820,736",$1.09,"$14,664,328","153,756,875 BCD",29.86%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,NANO Nano,"$138,248,033",$1.04,"$4,080,726","133,248,289 NANO *",2.91%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,BCN Bytecoin,"$135,534,016",$0.000736,"$325,776","184,066,828,814 BCN",8.40%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,STRAT Stratis,"$131,088,086",$1.32,"$32,184,254","99,140,287 STRAT *",-9.53%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,DGB DigiByte,"$128,614,838",$0.011477,"$1,857,642","11,206,634,089 DGB",-1.04%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,XVG Verge,"$121,776,144",$0.008026,"$4,879,921","15,172,086,051 XVG",8.27%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,ICX ICON,"$120,525,254",$0.254591,"$17,203,851","473,406,688 ICX *",7.47%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,BTS BitShares,"$114,013,476",$0.042551,"$7,152,347","2,679,470,000 BTS *",6.02%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,SC Siacoin,"$109,867,277",$0.002851,"$1,919,973","38,536,589,247 SC",2.83%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,FCT Factom,"$89,593,024",$10.24,"$1,330,725","8,745,102 FCT *",5.86%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,BTM Bytom,"$85,876,961",$0.085663,"$5,277,637","1,002,499,275 BTM",6.80%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,STEEM Steem,"$85,056,835",$0.280017,"$1,291,707","303,756,245 STEEM *",4.55%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,KMD Komodo,"$84,146,457",$0.757562,"$2,504,000","111,075,350 KMD",14.60%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,ETN  Electroneum,"$70,205,705",$0.008182,"$801,042","8,580,169,974 ETN",10.17%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,CNX Cryptonex,"$66,739,298",$1.20,"$6,140,626","55,602,713 CNX",4.38%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,BTCP Bitcoin Private,"$54,012,430",$2.63,"$85,196","20,524,490 BTCP",1.03%,,Add to Watchlist  Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
42,43,ARDR Ardor,"$52,272,330",$0.052325,"$730,527","998,999,495 ARDR *",1.99%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
43,44,AION Aion,"$46,994,006",$0.177139,"$8,830,945","265,294,161 AION",20.51%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
44,45,MONA MonaCoin,"$46,720,000",$0.724302,"$6,770,811","64,503,450 MONA",-2.14%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
45,46,ELA Elastos,"$42,712,158",$2.99,"$2,304,566","14,303,235 ELA",0.53%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
46,47,ARK Ark,"$42,407,800",$0.395746,"$731,410","107,159,268 ARK *",0.59%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
47,48,RDD ReddCoin,"$40,158,189",$0.001394,"$400,810","28,808,713,174 RDD *",2.79%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
48,49,WAN Wanchain,"$40,010,436",$0.376915,"$2,631,201","106,152,493 WAN *",5.84%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
49,50,HC HyperCash,"$40,007,296",$0.919079,"$14,888,159","43,529,781 HC",4.13%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
50,51,RVN Ravencoin,"$38,464,459",$0.015359,"$3,195,135","2,504,325,000 RVN",4.09%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
51,52,PIVX PIVX,"$38,463,787",$0.677404,"$1,605,387","56,781,166 PIVX *",15.95%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
52,53,ETP Metaverse ETP,"$38,157,511",$0.703107,"$28,893,378","54,269,862 ETP",8.19%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
53,54,GXS GXChain,"$33,586,132",$0.559769,"$263,103","60,000,000 GXS *",3.83%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
54,55,XZC Zcoin,"$32,250,092",$5.60,"$811,931","5,757,841 XZC",8.48%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
55,56,MOAC MOAC,"$30,554,154",$0.489153,"$70,661","62,463,334 MOAC *",-1.56%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
56,57,NXT Nxt,"$30,085,287",$0.030115,"$686,907","998,999,942 NXT *",1.92%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
57,58,ZEN Horizen,"$29,776,398",$5.50,"$387,695","5,414,700 ZEN",4.58%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
58,59,NAS Nebulas,"$29,207,626",$0.641926,"$1,584,041","45,500,000 NAS *",6.59%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
59,60,BOS BOScoin,"$27,895,634",$0.061062,"$19,809","456,838,751 BOS *",14.15%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
60,61,WICC WaykiChain,"$26,662,972",$0.126967,"$303,313","210,000,000 WICC *",1.50%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
61,62,SYS Syscoin,"$26,136,983",$0.047933,"$324,304","545,281,901 SYS",0.85%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
62,63,GBYTE Byteball Bytes,"$21,550,357",$31.74,"$19,985","679,008 GBYTE *",-0.60%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
63,64,NULS NULS,"$21,125,063",$0.467942,"$5,176,171","45,144,626 NULS",2.39%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
64,65,NXS Nexus,"$20,630,297",$0.345520,"$691,338","59,707,886 NXS",11.14%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
65,66,BCO BridgeCoin,"$20,496,900",$0.759144,"$15,742","27,000,000 BCO *",10.26%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
66,67,CMT CyberMiles,"$20,225,772",$0.025282,"$3,535,298","800,000,000 CMT *",0.82%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
67,68,PART Particl,"$18,469,888",$2.29,"$133,280","8,069,480 PART *",13.53%,,Add to Watchlist  Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
68,69,EMC Emercoin,"$18,089,032",$0.419883,"$174,746","43,081,147 EMC",5.51%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
69,70,GO GoChain,"$17,969,557",$0.027419,"$1,167,842","655,378,779 GO *",2.68%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
70,71,SMART SmartCash,"$17,748,259",$0.016843,"$455,486","1,053,773,052 SMART",0.95%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
71,72,GRS Groestlcoin,"$17,372,293",$0.242802,"$2,667,180","71,549,244 GRS",0.32%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
72,73,UNO Unobtanium,"$16,849,168",$84.38,"$5,877","199,692 UNO",3.14%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
73,74,NEBL Neblio,"$16,745,686",$1.21,"$166,127","13,851,956 NEBL *",2.76%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
74,75,NRG Energi,"$15,337,579",$1.37,"$11,161","11,159,335 NRG",4.73%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
75,76,VITAE Vitae,"$14,976,608",$1.38,"$59,955","10,869,929 VITAE",7.39%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
76,77,VTC Vertcoin,"$14,230,287",$0.300312,"$209,465","47,384,975 VTC",6.53%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
77,78,SKY Skycoin,"$13,581,685",$1.23,"$768,775","11,000,000 SKY *",-3.80%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
78,79,TPAY TokenPay,"$13,569,866",$0.862980,"$569,580","15,724,419 TPAY *",9.75%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
79,80,PPC Peercoin,"$13,270,805",$0.528704,"$368,069","25,100,657 PPC",-5.46%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
80,81,WGR Wagerr,"$13,254,178",$0.072427,"$9,451","183,000,000 WGR *",-2.59%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
81,82,NSD Nasdacoin,"$13,130,023",$0.694078,"$228,587","18,917,227 NSD",-32.87%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
82,83,NAV NavCoin,"$12,024,860",$0.188596,"$1,145,655","63,760,009 NAV *",-4.95%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
83,84,APL Apollo Currency,"$11,995,061",$0.000817,"$391,703","14,685,096,531 APL *",4.56%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
84,85,CSC CasinoCoin,"$11,819,281",$0.000329,$649,"35,973,085,511 CSC *",11.25%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
85,86,QRL Quantum Resis...,"$11,465,524",$0.220491,"$29,410","52,000,000 QRL *",15.92%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
86,87,NLG Gulden,"$11,262,989",$0.027138,"$80,984","415,032,420 NLG",6.47%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
87,88,UBQ Ubiq,"$11,131,192",$0.261240,"$13,924","42,609,099 UBQ",3.52%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
88,89,BLOCK Blocknet,"$10,904,492",$1.99,"$12,559","5,484,283 BLOCK *",5.29%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
89,90,BURST Burst,"$10,651,418",$0.005303,"$90,626","2,008,562,858 BURST",8.78%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
90,91,AU AurumCoin,"$10,344,694",$34.70,$794,"298,083 AU",4.85%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
91,92,XWC WhiteCoin,"$10,164,268",$0.040627,"$98,479","250,183,629 XWC *",-3.96%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets  View Historical Data
92,93,EMC2 Einsteinium,"$10,038,244",$0.046028,"$1,485,947","218,088,057 EMC2",-1.26%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
93,94,XSN Stakenet,"$9,959,789",$0.132911,"$153,280","74,936,012 XSN *",10.46%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
94,95,PZM PRIZM,"$9,852,144",$0.140839,"$4,970","69,953,059 PZM *",1.61%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
95,96,BAY BitBay,"$9,806,066",$0.009688,"$35,238","1,012,146,906 BAY *",3.63%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
96,97,NMC Namecoin,"$9,752,397",$0.661790,"$28,632","14,736,400 NMC",2.72%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
97,98,SLS SaluS,"$9,364,607",$9.26,"$37,597","1,011,643 SLS *",-6.83%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
98,99,XDN DigitalNote,"$9,106,108",$0.001314,"$384,629","6,928,822,446 XDN",-3.81%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
99,100,EDR E-Dinar Coin,"$8,857,955",$0.009995,"$1,593,000","886,211,988 EDR",0.95%,,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
